;;;;;;;;;;;;;
SÉRIE HISTÓRICA DO IPCA;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;
;;;;;    VARIAÇÃO;;;;;;;;
ANO;MÊS;NÚMERO ÍNDICE;(%);;;;;;;;;;
;;(DEZ 93 = 100);NO;3;6;NO;12;;;;;;
;;;MÊS;MESES;MESES;ANO;MESES;;;;;;
;;;;;;;;;;;;;
1994;JAN;141,31;41,31;162,13;533,33;41,31;2.693,84;;;;;;
;FEV;198,22;40,27;171,24;568,17;98,22;3.035,71;;;;;;
;MAR;282,96;42,75;182,96;602,93;182,96;3.417,39;;;;;;
;ABR;403,73;42,68;185,71;648,92;303,73;3.828,49;;;;;;
;MAI;581,49;44,03;193,36;695,71;481,49;4.331,19;;;;;;
;JUN;857,29;47,43;202,97;757,29;757,29;4.922,60;;;;;;
;JUL;915,93;6,84;126,87;548,17;815,93;4.005,08;;;;;;
;AGO;932,97;1,86;60,44;370,67;832,97;3.044,89;;;;;;
;SET;947,24;1,53;10,49;234,76;847,24;2.253,15;;;;;;
;OUT;972,06;2,62;6,13;140,77;872,06;1.703,17;;;;;;
;NOV;999,37;2,81;7,12;71,86;899,37;1.267,54;;;;;;
;DEZ;1016,46;1,71;7,31;18,57;916,46;916,46;;;;;;
;;;;;;;;;;;;;
1995;JAN;1033,74;1,70;6,35;12,86;1,70;631,54;;;;;;
;FEV;1044,28;1,02;4,49;11,93;2,74;426,83;;;;;;
;MAR;1060,47;1,55;4,33;11,95;4,33;274,78;;;;;;
;ABR;1086,24;2,43;5,08;11,75;6,87;169,05;;;;;;
;MAI;1115,24;2,67;6,80;11,59;9,72;91,79;;;;;;
;JUN;1140,44;2,26;7,54;12,20;12,20;33,03;;;;;;
;JUL;1167,35;2,36;7,47;12,92;14,84;27,45;;;;;;
;AGO;1178,91;0,99;5,71;12,89;15,98;26,36;;;;;;
;SET;1190,58;0,99;4,40;12,27;17,13;25,69;;;;;;
;OUT;1207,37;1,41;3,43;11,15;18,78;24,21;;;;;;
;NOV;1225,12;1,47;3,92;9,85;20,53;22,59;;;;;;
;DEZ;1244,23;1,56;4,51;9,10;22,41;22,41;;;;;;
;;;;;;;;;;;;;
1996;JAN;1260,90;1,34;4,43;8,01;1,34;21,97;;;;;;
;FEV;1273,89;1,03;3,98;8,06;2,38;21,99;;;;;;
;MAR;1278,35;0,35;2,74;7,37;2,74;20,55;;;;;;
;ABR;1294,46;1,26;2,66;7,21;4,04;19,17;;;;;;
;MAI;1310,25;1,22;2,85;6,95;5,31;17,49;;;;;;
;JUN;1325,84;1,19;3,71;6,56;6,56;16,26;;;;;;
;JUL;1340,56;1,11;3,56;6,32;7,74;14,84;;;;;;
;AGO;1346,46;0,44;2,76;5,70;8,22;14,21;;;;;;
;SET;1348,48;0,15;1,71;5,49;8,38;13,26;;;;;;
;OUT;1352,53;0,30;0,89;4,49;8,70;12,02;;;;;;
;NOV;1356,86;0,32;0,77;3,56;9,05;10,75;;;;;;
;DEZ;1363,24;0,47;1,09;2,82;9,56;9,56;;;;;;
;;;;;;;;;;;;;
1997;JAN;1379,33;1,18;1,98;2,89;1,18;9,39;;;;;;
;FEV;1386,23;0,50;2,16;2,95;1,69;8,82;;;;;;
